q_number,var_name,raw_col_name,q_text_uz,section,q_type,response_options,valid_min,valid_max,skip_condition,analytic_role,notes
DERIVED,is_borrowed_under_other_name,DERIVED,Бошқа кишининг номига олинган кредит белгиси,derived,binary,0|1,0,1,has_loan == 1,primary_outcome,Derived: 1 if has_loan_type == 'others_for_self'; informal name-lending; different legal exposure from straw borrower
DERIVED,is_npl,DERIVED,NPL белгиси (муддати ўтган 3 ой+),derived,binary,0|1,0,1,has_loan == 1,primary_outcome,Derived from admin holat1; 1 if holat1 == 'npl_3m_plus'; primary outcome for logistic regression
DERIVED,is_delayed,DERIVED,Кечикиш белгиси (1–3 ой ёки NPL),derived,binary,0|1,0,1,has_loan == 1,primary_outcome,Derived from admin holat1; 1 if holat1 == 'delayed_1to3m' OR 'npl_3m_plus'; broader delinquency measure
DERIVED,dsr_midpoint,DERIVED,Қарз хизматини қоплаш коэффициенти (ўрта нуқта),derived,numeric,,0.05,0.875,has_loan == 1,primary_outcome,Derived from dsr_cat midpoints: lt10pct=0.05; 10to20pct=0.15; 20to35pct=0.275; 35to50pct=0.425; gt50pct=0.625; hard_to_say=NA; dsr_midpoint >= 0.5 = over-indebtedness flag
DERIVED,income_midpoint_mln_uzs,DERIVED,Ойлик даромад ўрта нуқтаси (млн сўм),derived,numeric,,2.5,75,always,demographic,Derived from hh_income_cat midpoints (million UZS): lt5m=2.5; 5to10m=7.5; 10to20m=15; 20to50m=35; gt50m=75; hard_to_say=NA
DERIVED,financial_buffer_months,DERIVED,Молиявий буфер (ой ўрта нуқтаси),derived,numeric,,0,8,has_loan == 1,primary_outcome,Derived from financial_buffer (Q2.4.3). Source variable IS present in raw data (false dummy split — see financial_buffer notes). Midpoints: zero=0; 1to2m=1.5; 3to4m=3.5; 5to6m=5.5; gt6m=8; hard_to_say=NA
DERIVED,fin_lit_score,DERIVED,Молиявий саводхонлик индекси (0–4),derived,integer,,0,4,has_loan == 1,financial_literacy,Additive score from 4 components: contract_read (yes_fully=1 else 0) + terms_understood (yes=1 else 0) + credit_score_motivates (aware: yes_strongly|yes_partly|uncertain|no = 1; not_aware_of_credit_score = 0) + knows_delay_effect (yes_clearly|partly = 1; no|hard_to_say = 0); NA if any component missing
DERIVED,credit_formality,DERIVED,Кредит манбаи расмийлиги,derived,single_choice,formal_bank|formal_other|informal|mixed,,,has_loan == 1,covariate,Derived from credit_source_actual (Q2.5): formal_bank = commercial_bank only; formal_other = formal_installment|mfi|pawnshop only; informal = street_lenders|family_friends only; mixed = combination of formal + informal sources
DERIVED,multi_debt_flag,DERIVED,Бир нечта кредит белгиси,derived,binary,0|1,0,1,has_loan == 1,covariate,Derived: 1 if n_loans > 1; multiple simultaneous debt burden indicator
DERIVED,productive_use_flag,DERIVED,Ишлаб чиқариш мақсадида олинган кредит белгиси,derived,binary,0|1,0,1,has_loan == 1,covariate,Derived from loan_purpose: 1 if any of business|migration_work|family_entrepreneurship selected; 0 otherwise; productive vs consumption credit split
DERIVED,over_indebted_flag,DERIVED,Ортиқча қарздорлик белгиси,derived,binary,0|1,0,1,has_loan == 1,primary_outcome,Derived: 1 if dsr_midpoint >= 0.5 OR n_loans >= 3; compound over-indebtedness indicator
DERIVED,delay_tolerance_score,DERIVED,Кечикиш толерантлиги баллари (0–4),derived,integer,,0,4,has_loan == 1,attitudinal,Derived from acceptable_delay_days: none=0; 1to7=1; 8to30=2; gt30=3; no_need_to_pay=4; higher score = greater moral hazard / repayment culture weakness
admin_e2,resp_name_main,Респондентнинг тўлиқ исмини киритинг,Респондентнинг тўлиқ исмини киритинг,admin,open_text,,,,list_type == 'main' OR list_type == 'reserve',identifier,PII — full name of main/reserve-list respondent. Separate from analytic dataset on ingestion. Distinct from resp_name_add (admin_j) used for additional list.
admin_z2,credit_bank_admin,Мавжуд кредит қайси банкдан олинган?,Мавжуд кредит қайси банкдан олинган?,admin,open_text,,,,list_type != 'additional',admin_metadata,Pre-filled from bank records — name of lending bank. NOT self-reported. Present in ~50% of records (borrower lists only). Useful for bank-level NPL disaggregation.
admin_z2_other,credit_bank_admin_other,Мавжуд кредит қайси банкдан олинган? (Бошқа),Мавжуд кредит қайси банкдан олинган? (Бошқа),admin,open_text,,,,credit_bank_admin is blank or unclassified,open_text,Open-text bank name when credit_bank_admin entry is unrecognised. Code recurring values into credit_bank_admin.
admin_k,date_of_birth,date_of_birth,Туғилган сана (маъмурий),admin,date,,,,list_type != 'additional',admin_metadata,Pre-filled from bank records. Verify format (DD.MM.YYYY or ISO). Cross-check: abs(interview_year - birth_year - Q1.1_age) should be 0 or 1. PII — store in PII table alongside resp_name.
admin_m,kredit_turi,kredit_turi,"Кредит тури (код, маъмурий)",admin,single_choice,mortgage|family|microloan|consumer|auto|microcredit|education|other,,,list_type != 'additional',admin_metadata,Admin coded credit-type field — likely the code-form of credit_type_admin. Use as cross-check; prefer credit_type_admin for labelled output.
admin_n,oilaviy_kredit,oilaviy_kredit,Оилавий тадбиркорлик кредити белгиси (маъмурий),admin,binary,0|1,0,1,list_type != 'additional',admin_metadata,Pre-filled admin flag: 1 = respondent holds a family-entrepreneurship credit. Triggers Q2.7.a/б/в module. Cross-check against loan_purpose__family_entrepreneurship dummy.

